epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3069.13,1.09736,0.82094,1.21706,0.8436,0.90599,0.86689,0.5684,1.20269,0.6884,1.43871,0.0011882,0.0011882,0.0011882
43,3142.09,1.09653,0.81411,1.21656,0.87381,0.86557,0.88144,0.56715,1.1961,0.67255,1.45124,0.0011684,0.0011684,0.0011684
44,3215.3,1.0803,0.81265,1.20926,0.85917,0.92188,0.89022,0.59784,1.16953,0.63761,1.40929,0.0011486,0.0011486,0.0011486
45,3287.84,1.0832,0.80324,1.20147,0.83247,0.91406,0.87516,0.58632,1.17494,0.67557,1.43069,0.0011288,0.0011288,0.0011288
46,3359.38,1.07188,0.79678,1.19967,0.83487,0.91016,0.87819,0.56819,1.20929,0.7082,1.46813,0.001109,0.001109,0.001109
47,3430.25,1.0744,0.78204,1.19959,0.85541,0.91797,0.8887,0.58666,1.14992,0.63857,1.4261,0.0010892,0.0010892,0.0010892
48,3502.88,1.06777,0.77524,1.19466,0.86495,0.88281,0.89045,0.59154,1.18934,0.66557,1.42933,0.0010694,0.0010694,0.0010694
49,3575.44,1.0331,0.76757,1.18968,0.86238,0.88119,0.89945,0.58992,1.18046,0.71822,1.46185,0.0010496,0.0010496,0.0010496
50,3647.09,1.02447,0.75785,1.17398,0.84096,0.92969,0.89948,0.60806,1.12006,0.62591,1.39186,0.0010298,0.0010298,0.0010298
51,3717.83,1.03121,0.76263,1.18556,0.8575,0.91406,0.89577,0.60131,1.13313,0.6543,1.41901,0.00101,0.00101,0.00101
52,3787.79,1.0327,0.75195,1.18525,0.86914,0.90805,0.90578,0.61542,1.11508,0.62811,1.4008,0.0009902,0.0009902,0.0009902
53,3859.43,1.0095,0.7293,1.17124,0.83707,0.93359,0.89554,0.60466,1.11831,0.65331,1.38533,0.0009704,0.0009704,0.0009704
54,3930.72,1.01967,0.76132,1.17775,0.86696,0.92188,0.89712,0.61968,1.0948,0.61408,1.3718,0.0009506,0.0009506,0.0009506
55,4002.69,1.01317,0.73313,1.17132,0.87926,0.91027,0.90201,0.62662,1.05265,0.5995,1.34544,0.0009308,0.0009308,0.0009308
56,4073.72,0.97289,0.68813,1.14181,0.84745,0.9375,0.90478,0.61848,1.09531,0.60448,1.3479,0.000911,0.000911,0.000911
57,4144.13,0.98915,0.70126,1.15398,0.85747,0.92188,0.8983,0.6249,1.0638,0.61755,1.33431,0.0008912,0.0008912,0.0008912
58,4216.15,1.00233,0.70989,1.15945,0.84244,0.9375,0.90089,0.61892,1.08395,0.6104,1.35078,0.0008714,0.0008714,0.0008714
59,4289.49,0.96297,0.68748,1.13864,0.87136,0.94141,0.89942,0.62613,1.05698,0.58791,1.32887,0.0008516,0.0008516,0.0008516
60,4362.07,0.95085,0.6743,1.13155,0.85863,0.92969,0.89085,0.60857,1.10707,0.61702,1.36844,0.0008318,0.0008318,0.0008318
61,4434.79,0.95521,0.68245,1.12218,0.846,0.92969,0.90137,0.62581,1.06197,0.59869,1.36473,0.000812,0.000812,0.000812
62,4505.59,0.94503,0.67747,1.13145,0.87517,0.90371,0.90046,0.61108,1.12949,0.61951,1.40787,0.0007922,0.0007922,0.0007922
63,4576.57,0.9603,0.68385,1.13067,0.8414,0.92969,0.89369,0.61655,1.08194,0.60189,1.37415,0.0007724,0.0007724,0.0007724
64,4648.68,0.9584,0.67526,1.14208,0.84964,0.92188,0.8858,0.61116,1.05244,0.59974,1.34871,0.0007526,0.0007526,0.0007526
65,4720.48,0.92073,0.65182,1.1162,0.86737,0.9452,0.89748,0.62404,1.0585,0.56831,1.37075,0.0007328,0.0007328,0.0007328
66,4791.77,0.90803,0.64018,1.11097,0.85518,0.92268,0.88356,0.63258,1.00954,0.576,1.32248,0.000713,0.000713,0.000713
67,4863.46,0.91133,0.63141,1.11237,0.86435,0.92969,0.9029,0.63145,1.00728,0.59228,1.33435,0.0006932,0.0006932,0.0006932
68,4935.67,0.93087,0.64586,1.11681,0.85973,0.92969,0.88587,0.63396,1.02228,0.56531,1.34454,0.0006734,0.0006734,0.0006734
69,5007.79,0.90448,0.6213,1.11249,0.86345,0.95312,0.9139,0.64035,1.03296,0.5499,1.3364,0.0006536,0.0006536,0.0006536
70,5080.77,0.90075,0.62413,1.09944,0.87021,0.94286,0.90335,0.64383,1.02493,0.56008,1.34118,0.0006338,0.0006338,0.0006338
71,5153.98,0.87903,0.60295,1.08652,0.87763,0.92969,0.90176,0.64541,1.01056,0.55711,1.32891,0.000614,0.000614,0.000614
72,5225.3,0.87052,0.60765,1.08061,0.87604,0.94531,0.90561,0.64959,0.99019,0.56311,1.33159,0.0005942,0.0005942,0.0005942
73,5296.45,0.87841,0.61881,1.09351,0.87875,0.94531,0.91068,0.64325,1.02628,0.57034,1.35161,0.0005744,0.0005744,0.0005744
74,5366.95,0.85416,0.58708,1.0763,0.87804,0.92805,0.9037,0.65578,0.98745,0.54211,1.31596,0.0005546,0.0005546,0.0005546
75,5438.34,0.86632,0.59738,1.08378,0.85966,0.95312,0.90746,0.6605,0.99618,0.56828,1.33237,0.0005348,0.0005348,0.0005348
76,5509.23,0.84863,0.58654,1.07398,0.88096,0.9375,0.91122,0.66443,0.95729,0.55248,1.29713,0.000515,0.000515,0.000515
77,5581.05,0.84579,0.57852,1.07274,0.88742,0.95312,0.90252,0.66371,0.97413,0.53469,1.31517,0.0004952,0.0004952,0.0004952
78,5652.9,0.84495,0.56982,1.07002,0.88702,0.96094,0.90027,0.65119,0.95806,0.53837,1.2953,0.0004754,0.0004754,0.0004754
79,5724.47,0.83263,0.57257,1.06337,0.88416,0.96094,0.90706,0.65333,0.97122,0.53727,1.3021,0.0004556,0.0004556,0.0004556
80,5796.36,0.83251,0.56598,1.06421,0.85404,0.96484,0.90063,0.67114,0.92411,0.53005,1.28037,0.0004358,0.0004358,0.0004358
81,5868.58,0.83061,0.56437,1.05601,0.87536,0.96484,0.9131,0.67452,0.90976,0.51193,1.26792,0.000416,0.000416,0.000416
82,5941.23,0.80721,0.54186,1.04397,0.87588,0.96094,0.90936,0.68046,0.91897,0.51906,1.27712,0.0003962,0.0003962,0.0003962
83,6016.16,0.81115,0.54386,1.04415,0.88909,0.95703,0.9202,0.67782,0.95131,0.5186,1.28622,0.0003764,0.0003764,0.0003764
84,6089.86,0.80296,0.53754,1.04256,0.86145,0.96094,0.91032,0.67895,0.89835,0.51842,1.25927,0.0003566,0.0003566,0.0003566
